"","Species","a","b"
"1205","Bradypodion melanocephalum",-3.997,2.68
"1206","Bradypodion nemorale",-3.997,2.68
"1207","Bradypodion ngomeense",-3.997,2.68
"1208","Bradypodion occidentale",-3.997,2.68
"1209","Bradypodion pumilum",-3.997,2.68
"1210","Bradypodion setaroi",-3.997,2.68
"1211","Bradypodion taeniabronchum",-3.997,2.68
"1212","Bradypodion thamnobates",-3.997,2.68
"1213","Bradypodion transvaalense",-3.997,2.68
"1214","Bradypodion ventrale",-3.997,2.68
"1215","Brasiliscincus agilis",-5.125,3.229
"1216","Brasiliscincus caissara",-5.125,3.229
"1217","Brasiliscincus heathi",-5.125,3.229
"1218","Broadleysaurus major",-4.783,3.085
"1219","Bronchocela burmana",-4.686,3.105
"1220","Bronchocela celebensis",-4.686,3.105
"1221","Bronchocela cristatella",-4.686,3.105
"1222","Bronchocela danieli",-4.686,3.105
"1223","Bronchocela hayeki",-4.686,3.105
"1224","Bronchocela jubata",-4.686,3.105
"1225","Bronchocela marmorata",-4.686,3.105
"1226","Bronchocela orlovi",-4.686,3.105
"1227","Bronchocela rayaensis",-4.686,3.105
"1228","Bronchocela rubrigularis",-4.686,3.105
"1229","Bronchocela shenlong",-4.686,3.105
"1230","Bronchocela smaragdina",-4.686,3.105
"1231","Bronchocela vietnamensis",-4.686,3.105
"1232","Brookesia ambreensis",-3.997,2.68
"1233","Brookesia antakarana",-3.997,2.68
"1234","Brookesia bekolosy",-3.997,2.68
"1235","Brookesia betschi",-3.997,2.68
"1236","Brookesia bonsi",-3.997,2.68
"1237","Brookesia brunoi",-3.997,2.68
"1238","Brookesia brygooi",-3.997,2.68
"1239","Brookesia confidens",-3.997,2.68
"1240","Brookesia decaryi",-3.997,2.68
"1241","Brookesia dentata",-3.997,2.68
"1242","Brookesia desperata",-3.997,2.68
"1243","Brookesia ebenaui",-3.997,2.68
"1244","Brookesia exarmata",-3.997,2.68
"1245","Brookesia griveaudi",-3.997,2.68
"1246","Brookesia karchei",-3.997,2.68
"1247","Brookesia lambertoni",-3.997,2.68
"1248","Brookesia lineata",-3.997,2.68
"1249","Brookesia micra",-3.997,2.68
"1250","Brookesia minima",-3.997,2.68
"1251","Brookesia perarmata",-3.997,2.68
"1252","Brookesia peyrierasi",-3.997,2.68
"1253","Brookesia ramanantsoai",-3.997,2.68
"1254","Brookesia stumpffi",-3.997,2.68
"1255","Brookesia superciliaris",-3.997,2.68
"1256","Brookesia therezieni",-3.997,2.68
"1257","Brookesia thieli",-3.997,2.68
"1258","Brookesia tristis",-3.997,2.68
"1259","Brookesia tuberculata",-3.997,2.68
"1260","Brookesia vadoni",-3.997,2.68
"1261","Brookesia valerieae",-3.997,2.68
"1262","Bufoniceps laungwalaensis",-4.686,3.105
"1263","Bunopus blanfordii",-4.242,2.761
"1264","Bunopus crassicauda",-4.242,2.761
"1265","Bunopus tuberculatus",-4.242,2.761
"1266","Cachryx alfredschmidti",-4.298,2.972
"1267","Cachryx defensor",-4.298,2.972
"1268","Cadea blanoides",-5.858,2.943
"1269","Cadea palirostrata",-5.858,2.943
"1270","Caesoris novaecaledoniae",-5.125,3.229
"1271","Caledoniscincus aquilonius",-5.125,3.229
"1272","Caledoniscincus atropunctatus",-5.125,3.229
"1273","Caledoniscincus auratus",-5.125,3.229
"1274","Caledoniscincus austrocaledonicus",-5.125,3.229
"1275","Caledoniscincus chazeaui",-5.125,3.229
"1276","Caledoniscincus constellatus",-5.125,3.229
"1277","Caledoniscincus cryptos",-5.125,3.229
"1278","Caledoniscincus festivus",-5.125,3.229
"1279","Caledoniscincus haplorhinus",-5.125,3.229
"1280","Caledoniscincus notialis",-5.125,3.229
"1281","Caledoniscincus orestes",-5.125,3.229
"1282","Caledoniscincus pelletieri",-5.125,3.229
"1283","Caledoniscincus renevieri",-5.125,3.229
"1284","Caledoniscincus terma",-5.125,3.229
"1285","Callisaurus draconoides",-3.855,2.677
"1286","Callopistes flavipunctatus",-4.747,3.11
"1287","Callopistes maculatus",-4.747,3.11
"1288","Calodactylodes aureus",-4.242,2.761
"1289","Calodactylodes illingworthorum",-4.242,2.761
"1290","Calotes aurantolabium",-4.686,3.105
"1291","Calotes bachae",-4.686,3.105
"1292","Calotes bhutanensis",-4.686,3.105
"1293","Calotes calotes",-4.686,3.105
"1294","Calotes ceylonensis",-4.686,3.105
"1295","Calotes chincollium",-4.686,3.105
"1296","Calotes desilvai",-4.686,3.105
"1297","Calotes ellioti",-4.686,3.105
"1298","Calotes emma",-4.686,3.105
"1299","Calotes grandisquamis",-4.686,3.105
"1300","Calotes htunwini",-4.686,3.105
"1301","Calotes irawadi",-4.686,3.105
"1302","Calotes jerdoni",-4.686,3.105
"1303","Calotes liocephalus",-4.686,3.105
"1304","Calotes liolepis",-4.686,3.105
"1305","Calotes manamendrai",-4.686,3.105
"1306","Calotes maria",-4.686,3.105
"1307","Calotes medogensis",-4.686,3.105
"1308","Calotes minor",-4.686,3.105
"1309","Calotes mystaceus",-4.686,3.105
"1310","Calotes nemoricola",-4.686,3.105
"1311","Calotes nigrilabris",-4.686,3.105
"1312","Calotes nigriplicatus",-4.686,3.105
"1313","Calotes pethiyagodai",-4.686,3.105
"1314","Calotes rouxii",-4.686,3.105
"1315","Calotes versicolor",-4.686,3.105
"1316","Calumma amber",-3.997,2.68
"1317","Calumma ambreense",-3.997,2.68
"1318","Calumma andringitraense",-3.997,2.68
"1319","Calumma boettgeri",-3.997,2.68
"1320","Calumma brevicorne",-3.997,2.68
"1321","Calumma capuroni",-3.997,2.68
"1322","Calumma crypticum",-3.997,2.68
"1323","Calumma cucullatum",-3.997,2.68
"1324","Calumma fallax",-3.997,2.68
"1325","Calumma furcifer",-3.997,2.68
"1326","Calumma gallus",-3.997,2.68
"1327","Calumma gastrotaenia",-3.997,2.68
"1328","Calumma gehringi",-3.997,2.68
"1329","Calumma glawi",-3.997,2.68
"1330","Calumma globifer",-3.997,2.68
"1331","Calumma guibei",-3.997,2.68
"1332","Calumma guillaumeti",-3.997,2.68
"1333","Calumma hafahafa",-3.997,2.68
"1334","Calumma hilleniusi",-3.997,2.68
"1335","Calumma jejy",-3.997,2.68
"1336","Calumma linotum",-3.997,2.68
"1337","Calumma malthe",-3.997,2.68
"1338","Calumma marojezense",-3.997,2.68
"1339","Calumma nasutum",-3.997,2.68
"1340","Calumma oshaughnessyi",-3.997,2.68
"1341","Calumma parsonii",-3.997,2.68
"1342","Calumma peltierorum",-3.997,2.68
"1343","Calumma peyrierasi",-3.997,2.68
"1344","Calumma tarzan",-3.997,2.68
"1345","Calumma tsaratananense",-3.997,2.68
"1346","Calumma tsycorne",-3.997,2.68
"1347","Calumma vatosoa",-3.997,2.68
"1348","Calumma vencesi",-3.997,2.68
"1349","Calumma vohibola",-3.997,2.68
"1350","Calyptommatus confusionibus",-4.207,2.3
"1351","Calyptommatus leiolepis",-4.207,2.471
"1352","Calyptommatus nicterus",-4.207,2.471
"1353","Calyptommatus sinebrachiatus",-4.207,2.471
"1354","Calyptotis lepidorostrum",-5.125,3.229
"1355","Calyptotis ruficauda",-5.125,3.229
"1356","Calyptotis scutirostrum",-5.125,3.229
"1357","Calyptotis temporalis",-5.125,3.229
"1358","Calyptotis thorntonensis",-5.125,3.229
"1359","Caparaonia itaiquara",-5.178,3.302
"1360","Capitellum mariagalantae",-5.125,3.229
"1361","Capitellum metallicum",-5.125,3.229
"1362","Capitellum parvicruzae",-5.125,3.229
"1363","Carinascincus coventryi",-5.125,3.229
"1364","Carinascincus greeni",-5.125,3.229
"1365","Carinascincus metallicus",-5.125,3.229
"1366","Carinascincus microlepidotus",-5.125,3.229
"1367","Carinascincus ocellatus",-5.125,3.229
"1368","Carinascincus orocryptus",-5.125,3.229
"1369","Carinascincus palfreymani",-5.125,3.229
"1370","Carinascincus pretiosus",-5.125,3.229
"1371","Carlia aenigma",-5.125,3.229
"1372","Carlia ailanpalai",-5.125,3.229
"1373","Carlia amax",-5.125,3.229
"1374","Carlia aramia",-5.125,3.229
"1375","Carlia babarensis",-5.125,3.229
"1376","Carlia beccarii",-5.125,3.229
"1377","Carlia bicarinata",-5.125,3.229
"1378","Carlia bomberai",-5.125,3.229
"1379","Carlia caesius",-5.125,3.229
"1380","Carlia decora",-5.125,3.229
"1381","Carlia diguliensis",-5.125,3.229
"1382","Carlia dogare",-5.125,3.229
"1383","Carlia eothen",-5.125,3.229
"1384","Carlia fusca",-5.125,3.229
"1385","Carlia gracilis",-5.125,3.229
"1386","Carlia inconnexa",-5.125,3.229
"1387","Carlia insularis",-5.125,3.229
"1388","Carlia isostriacantha",-5.125,3.229
"1389","Carlia jarnoldae",-5.125,3.229
"1390","Carlia johnstonei",-5.125,3.229
"1391","Carlia leucotaenia",-5.125,3.229
"1392","Carlia longipes",-5.125,3.229
"1393","Carlia luctuosa",-5.125,3.229
"1394","Carlia munda",-5.125,3.229
"1395","Carlia mysi",-5.125,3.229
"1396","Carlia nigrauris",-5.125,3.229
"1397","Carlia pectoralis",-5.125,3.229
"1398","Carlia peronii",-5.125,3.229
"1399","Carlia pulla",-5.125,3.229
"1400","Carlia quinquecarinata",-5.125,3.229
"1401","Carlia rhomboidalis",-5.125,3.229
"1402","Carlia rostralis",-5.125,3.229
"1403","Carlia rubigo",-5.125,3.229
"1404","Carlia rubrigularis",-5.125,3.229
"1405","Carlia rufilatus",-5.125,3.229
"1406","Carlia schmeltzii",-5.125,3.229
"1407","Carlia sexdentata",-5.125,3.229
"1408","Carlia spinauris",-5.125,3.229
"1409","Carlia storri",-5.125,3.229
"1410","Carlia sukur",-5.125,3.229
"1411","Carlia tetradactyla",-5.125,3.229
"1412","Carlia triacantha",-5.125,3.229
"1413","Carlia tutela",-5.125,3.229
"1414","Carlia vivax",-5.125,3.229
"1415","Carlia wundalthini",-5.125,3.229
"1416","Carphodactylus laevis",-3.445,2.353
"1417","Celatiscincus euryotis",-5.125,3.229
"1418","Celatiscincus similis",-5.125,3.229
"1419","Celestus adercus",-5.765,3.48
"1420","Celestus agasepsoides",-4.207,2.471
"1421","Celestus anelpistus",-5.765,3.48
"1422","Celestus badius",-5.765,3.48
"1423","Celestus barbouri",-5.765,3.48
"1424","Celestus bivittatus",-5.765,3.48
"1425","Celestus carraui",-5.765,3.48
"1426","Celestus costatus",-5.765,3.48
"1427","Celestus crusculus",-5.765,3.48
"1428","Celestus curtissi",-5.765,3.48
"1429","Celestus cyanochloris",-5.765,3.48
"1430","Celestus darlingtoni",-5.765,3.48
"1431","Celestus duquesneyi",-5.765,3.48
"1432","Celestus enneagrammus",-5.765,3.48
"1433","Celestus fowleri",-5.765,3.48
"1434","Celestus haetianus",-5.765,3.48
"1435","Celestus hewardi",-5.765,3.48
"1436","Celestus hylaius",-5.765,3.48
"1437","Celestus ingridae",-5.765,3.48
"1438","Celestus laf",-5.765,3.48
"1439","Celestus legnotus",-5.765,3.48
"1440","Celestus macrotus",-5.765,3.48
"1441","Celestus marcanoi",-5.765,3.48
"1442","Celestus microblepharis",-5.765,3.48
"1443","Celestus montanus",-5.765,3.48
"1444","Celestus occiduus",-5.765,3.48
"1445","Celestus orobius",-5.765,3.48
"1446","Celestus rozellae",-5.765,3.48
"1447","Celestus scansorius",-5.765,3.48
"1448","Celestus sepsoides",-5.765,3.48
"1449","Celestus stenurus",-5.765,3.48
"1450","Celestus warreni",-5.765,3.48
"1451","Ceratophora aspera",-4.686,3.105
"1452","Ceratophora erdeleni",-4.686,3.105
"1453","Ceratophora karu",-4.686,3.105
"1454","Ceratophora stoddartii",-4.686,3.105
"1455","Ceratophora tennentii",-4.686,3.105
"1456","Cercosaura argulus",-5.178,3.302
"1457","Cercosaura bassleri",-5.178,3.302
"1458","Cercosaura doanae",-5.178,3.302
"1459","Cercosaura eigenmanni",-5.178,3.302
"1460","Cercosaura hypnoides",-5.178,3.302
"1461","Cercosaura manicata",-5.178,3.302
"1462","Cercosaura nigroventris",-5.178,3.302
"1463","Cercosaura ocellata",-5.178,3.302
"1464","Cercosaura oshaughnessyi",-5.178,3.302
"1465","Cercosaura parkeri",-5.178,3.302
"1466","Cercosaura phelpsorum",-5.178,3.302
"1467","Cercosaura quadrilineata",-5.178,3.302
"1468","Cercosaura schreibersii",-5.178,3.302
"1469","Cercosaura steyeri",-5.178,3.302
"1470","Chalarodon madagascariensis",-6.439,3.94
"1471","Chalarodon steinkampi",-6.439,3.94
"1472","Chalcides armitagei",-4.207,2.471
"1473","Chalcides bedriagai",-5.125,3.229
"1474","Chalcides bottegi",-5.125,3.229
"1475","Chalcides boulengeri",-5.125,3.229
"1476","Chalcides chalcides",-4.207,2.471
"1477","Chalcides coeruleopunctatus",-5.125,3.229
"1478","Chalcides colosii",-5.125,3.229
"1479","Chalcides delislei",-4.207,2.471
"1480","Chalcides ebneri",-5.125,3.229
"1481","Chalcides guentheri",-4.207,2.3
"1482","Chalcides lanzai",-5.125,3.229
"1483","Chalcides levitoni",-5.125,3.229
"1484","Chalcides manueli",-5.125,3.229
"1485","Chalcides mauritanicus",-4.207,2.471
"1486","Chalcides mertensi",-4.207,2.471
"1487","Chalcides minutus",-4.207,2.471
"1488","Chalcides mionecton",-4.207,2.471
"1489","Chalcides montanus",-5.125,3.229
"1490","Chalcides ocellatus",-5.125,3.229
"1491","Chalcides parallelus",-5.125,3.229
"1492","Chalcides pentadactylus",-4.207,2.471
"1493","Chalcides polylepis",-5.125,3.229
"1494","Chalcides pseudostriatus",-4.207,2.471
"1495","Chalcides pulchellus",-5.125,3.229
"1496","Chalcides ragazzii",-5.125,3.229
"1497","Chalcides sepsoides",-4.207,2.471
"1498","Chalcides sexlineatus",-5.125,3.229
"1499","Chalcides simonyi",-5.125,3.229
"1500","Chalcides sphenopsiformis",-4.207,2.471
"1501","Chalcides striatus",-4.207,2.471
"1502","Chalcides thierryi",-5.125,3.229
"1503","Chalcides viridanus",-5.125,3.229
"1504","Chalcidoseps thwaitesi",-4.207,2.471
"1505","Chamaeleo africanus",-3.997,2.68
"1506","Chamaeleo anchietae",-3.997,2.68
"1507","Chamaeleo arabicus",-3.997,2.68
"1508","Chamaeleo calcaricarens",-3.997,2.68
"1509","Chamaeleo calyptratus",-3.997,2.68
"1510","Chamaeleo chamaeleon",-3.997,2.68
"1511","Chamaeleo dilepis",-3.997,2.68
"1512","Chamaeleo gracilis",-3.997,2.68
"1513","Chamaeleo laevigatus",-3.997,2.68
"1514","Chamaeleo monachus",-3.997,2.68
"1515","Chamaeleo namaquensis",-3.997,2.68
"1516","Chamaeleo necasi",-3.997,2.68
"1517","Chamaeleo senegalensis",-3.997,2.68
"1518","Chamaeleo zeylanicus",-3.997,2.68
"1519","Chamaesaura aenea",-4.207,2.471
"1520","Chamaesaura anguina",-4.207,2.471
"1521","Chamaesaura macrolepis",-4.207,2.471
"1522","Chamaesaura miopropus",-4.207,2.471
"1523","Chamaesaura tenuior",-4.207,2.471
"1524","Chatogekko amazonicus",-4.558,2.97
"1525","Chelosania brunnea",-4.686,3.105
"1526","Chioninia coctei",-5.125,3.229
"1527","Chioninia delalandii",-5.125,3.229
"1528","Chioninia fogoensis",-5.125,3.229
"1529","Chioninia nicolauensis",-5.125,3.229
"1530","Chioninia spinalis",-5.125,3.229
"1531","Chioninia stangeri",-5.125,3.229
"1532","Chioninia vaillantii",-5.125,3.229
"1533","Chirindia ewerbecki",-8.647,4.007
"1534","Chirindia langi",-8.647,4.007
"1535","Chirindia mpwapwaensis",-8.647,4.007
"1536","Chirindia rondoensis",-8.647,4.007
"1537","Chirindia swynnertoni",-8.647,4.007
"1538","Chlamydosaurus kingii",-4.686,3.105
"1539","Chondrodactylus angulifer",-4.242,2.761
"1540","Chondrodactylus bibronii",-4.242,2.761
"1541","Chondrodactylus fitzsimonsi",-4.242,2.761
"1542","Chondrodactylus pulitzerae",-4.242,2.761
"1543","Chondrodactylus turneri",-4.242,2.761
"1544","Christinus alexanderi",-4.242,2.761
"1545","Christinus guentheri",-4.242,2.761
"1546","Christinus marmoratus",-4.242,2.761
"1547","Cnemaspis aceh",-4.242,2.761
"1548","Cnemaspis adii",-4.242,2.761
"1549","Cnemaspis affinis",-4.242,2.761
"1550","Cnemaspis africana",-4.242,2.761
"1551","Cnemaspis alantika",-4.242,2.761
"1552","Cnemaspis alwisi",-4.242,2.761
"1553","Cnemaspis amith",-4.242,2.761
"1554","Cnemaspis anaikattiensis",-4.242,2.761
"1555","Cnemaspis andalas",-4.242,2.761
"1556","Cnemaspis andersonii",-4.242,2.761
"1557","Cnemaspis argus",-4.242,2.761
"1558","Cnemaspis assamensis",-4.242,2.761
"1559","Cnemaspis aurantiacopes",-4.242,2.761
"1560","Cnemaspis australis",-4.242,2.761
"1561","Cnemaspis barbouri",-4.242,2.761
"1562","Cnemaspis baueri",-4.242,2.761
"1563","Cnemaspis bayuensis",-4.242,2.761
"1564","Cnemaspis beddomei",-4.242,2.761
"1565","Cnemaspis bidongensis",-4.242,2.761
"1566","Cnemaspis biocellata",-4.242,2.761
"1567","Cnemaspis boiei",-4.242,2.761
"1568","Cnemaspis boulengeri",-4.242,2.761
"1569","Cnemaspis caudanivea",-4.242,2.761
"1570","Cnemaspis chanardi",-4.242,2.761
"1571","Cnemaspis chanthaburiensis",-4.242,2.761
"1572","Cnemaspis clivicola",-4.242,2.761
"1573","Cnemaspis dezwaani",-4.242,2.761
"1574","Cnemaspis dickersonae",-4.242,2.761
"1575","Cnemaspis dilepis",-4.242,2.761
"1576","Cnemaspis dringi",-4.242,2.761
"1577","Cnemaspis elgonensis",-4.242,2.761
"1578","Cnemaspis flavigaster",-4.242,2.761
"1579","Cnemaspis flaviventralis",-4.242,2.761
"1580","Cnemaspis flavolineata",-4.242,2.761
"1581","Cnemaspis gemunu",-4.242,2.761
"1582","Cnemaspis gigas",-4.242,2.761
"1583","Cnemaspis girii",-4.242,2.761
"1584","Cnemaspis goaensis",-4.242,2.761
"1585","Cnemaspis gracilis",-4.242,2.761
"1586","Cnemaspis grismeri",-4.242,2.761
"1587","Cnemaspis hangus",-4.242,2.761
"1588","Cnemaspis harimau",-4.242,2.761
"1589","Cnemaspis heteropholis",-4.242,2.761
"1590","Cnemaspis huaseesom",-4.242,2.761
"1591","Cnemaspis indica",-4.242,2.761
"1592","Cnemaspis indraneildasii",-4.242,2.761
"1593","Cnemaspis jacobsoni",-4.242,2.761
"1594","Cnemaspis jerdonii",-4.242,2.761
"1595","Cnemaspis kallima",-4.242,2.761
"1596","Cnemaspis kamolnorranathi",-4.242,2.761
"1597","Cnemaspis kandambyi",-4.242,2.761
"1598","Cnemaspis kandiana",-4.242,2.761
"1599","Cnemaspis karsticola",-4.242,2.761
"1600","Cnemaspis kendallii",-4.242,2.761
"1601","Cnemaspis koehleri",-4.242,2.761
"1602","Cnemaspis kolhapurensis",-4.242,2.761
"1603","Cnemaspis kottiyoorensis",-4.242,2.761
"1604","Cnemaspis kumarasinghei",-4.242,2.761
"1605","Cnemaspis kumpoli",-4.242,2.761
"1606","Cnemaspis laoensis",-4.242,2.761
"1607","Cnemaspis latha",-4.242,2.761
"1608","Cnemaspis leucura",-4.242,2.761
"1609","Cnemaspis limi",-4.242,2.761
"1610","Cnemaspis lineogularis",-4.242,2.761
"1611","Cnemaspis littoralis",-4.242,2.761
"1612","Cnemaspis mahsuriae",-4.242,2.761
"1613","Cnemaspis mcguirei",-4.242,2.761
"1614","Cnemaspis menikay",-4.242,2.761
"1615","Cnemaspis minang",-4.242,2.761
"1616","Cnemaspis modiglianii",-4.242,2.761
"1617","Cnemaspis molligodai",-4.242,2.761
"1618","Cnemaspis monachorum",-4.242,2.761
"1619","Cnemaspis monticola",-4.242,2.761
"1620","Cnemaspis mumpuniae",-4.242,2.761
"1621","Cnemaspis mysoriensis",-4.242,2.761
"1622","Cnemaspis nairi",-4.242,2.761
"1623","Cnemaspis narathiwatensis",-4.242,2.761
"1624","Cnemaspis neangthyi",-4.242,2.761
"1625","Cnemaspis nigridia",-4.242,2.761
"1626","Cnemaspis nilagirica",-4.242,2.761
"1627","Cnemaspis niyomwanae",-4.242,2.761
"1628","Cnemaspis nuicamensis",-4.242,2.761
"1629","Cnemaspis occidentalis",-4.242,2.761
"1630","Cnemaspis omari",-4.242,2.761
"1631","Cnemaspis ornata",-4.242,2.761
"1632","Cnemaspis otai",-4.242,2.761
"1633","Cnemaspis pagai",-4.242,2.761
"1634","Cnemaspis paripari",-4.242,2.761
"1635","Cnemaspis pava",-4.242,2.761
"1636","Cnemaspis pemanggilensis",-4.242,2.761
"1637","Cnemaspis peninsularis",-4.242,2.761
"1638","Cnemaspis perhentianensis",-4.242,2.761
"1639","Cnemaspis petrodroma",-4.242,2.761
"1640","Cnemaspis phangngaensis",-4.242,2.761
"1641","Cnemaspis phillipsi",-4.242,2.761
"1642","Cnemaspis phuketensis",-4.242,2.761
"1643","Cnemaspis podihuna",-4.242,2.761
"1644","Cnemaspis pseudomcguirei",-4.242,2.761
"1645","Cnemaspis psychedelica",-4.242,2.761
"1646","Cnemaspis pulchra",-4.242,2.761
"1647","Cnemaspis punctata",-4.242,2.761
"1648","Cnemaspis punctatonuchalis",-4.242,2.761
"1649","Cnemaspis purnamai",-4.242,2.761
"1650","Cnemaspis quattuorseriata",-4.242,2.761
"1651","Cnemaspis rajabasa",-4.242,2.761
"1652","Cnemaspis rajakarunai",-4.242,2.761
"1653","Cnemaspis rammalensis",-4.242,2.761
"1654","Cnemaspis retigalensis",-4.242,2.761
"1655","Cnemaspis roticanai",-4.242,2.761
"1656","Cnemaspis samanalensis",-4.242,2.761
"1657","Cnemaspis scalpensis",-4.242,2.761
"1658","Cnemaspis selamatkanmerapoh",-4.242,2.761
"1659","Cnemaspis shahruli",-4.242,2.761
"1660","Cnemaspis siamensis",-4.242,2.761
"1661","Cnemaspis silvula",-4.242,2.761
"1662","Cnemaspis sisparensis",-4.242,2.761
"1663","Cnemaspis spinicollis",-4.242,2.761
"1664","Cnemaspis stongensis",-4.242,2.761
"1665","Cnemaspis sundagekko",-4.242,2.761
"1666","Cnemaspis sundainsula",-4.242,2.761
"1667","Cnemaspis tapanuli",-4.242,2.761
"1668","Cnemaspis temiah",-4.242,2.761
"1669","Cnemaspis thachanaensis",-4.242,2.761
"1670","Cnemaspis timoriensis",-4.242,2.761
"1671","Cnemaspis tropidogaster",-4.242,2.761
"1672","Cnemaspis tucdupensis",-4.242,2.761
"1673","Cnemaspis upendrai",-4.242,2.761
"1674","Cnemaspis uzungwae",-4.242,2.761
"1675","Cnemaspis vandeventeri",-4.242,2.761
"1676","Cnemaspis whittenorum",-4.242,2.761
"1677","Cnemaspis wicksi",-4.242,2.761
"1678","Cnemaspis wynadensis",-4.242,2.761
"1679","Cnemaspis yercaudensis",-4.242,2.761
"1680","Cnemidophorus arenivagus",-4.747,3.11
"1681","Cnemidophorus arubensis",-4.747,3.11
"1682","Cnemidophorus cryptus",-4.747,3.11
"1683","Cnemidophorus duellmani",-4.747,3.11
"1684","Cnemidophorus espeuti",-4.747,3.11
"1685","Cnemidophorus flavissimus",-4.747,3.11
"1686","Cnemidophorus gaigei",-4.747,3.11
"1687","Cnemidophorus gramivagus",-4.747,3.11
"1688","Cnemidophorus lemniscatus",-4.747,3.11
"1689","Cnemidophorus leucopsammus",-4.747,3.11
"1690","Cnemidophorus murinus",-4.747,3.11
"1691","Cnemidophorus nigricolor",-4.747,3.11
"1692","Cnemidophorus pseudolemniscatus",-4.747,3.11
"1693","Cnemidophorus rostralis",-4.747,3.11
"1694","Cnemidophorus ruatanus",-4.747,3.11
"1695","Cnemidophorus ruthveni",-4.747,3.11
"1696","Cnemidophorus senectus",-4.747,3.11
"1697","Cnemidophorus splendidus",-4.747,3.11
"1698","Cnemidophorus vanzoi",-4.747,3.11
"1699","Coeranoscincus frontalis",-4.207,2.3
"1700","Coeranoscincus reticulatus",-4.207,2.471
"1701","Coggeria naufragus",-4.207,2.471
"1702","Coleodactylus brachystoma",-4.558,2.97
"1703","Coleodactylus elizae",-4.558,2.97
"1704","Coleodactylus meridionalis",-4.558,2.97
"1705","Coleodactylus natalensis",-4.558,2.97
"1706","Coleodactylus septentrionalis",-4.558,2.97
"1707","Coleonyx brevis",-5.201,3.255
"1708","Coleonyx elegans",-5.201,3.255
"1709","Coleonyx fasciatus",-5.201,3.255
"1710","Coleonyx gypsicolus",-5.201,3.255
"1711","Coleonyx mitratus",-5.201,3.255
"1712","Coleonyx reticulatus",-5.201,3.255
"1713","Coleonyx switaki",-5.201,3.255
"1714","Coleonyx variegatus",-5.201,3.255
"1715","Colobodactylus dalcyanus",-5.178,3.302
"1716","Colobodactylus taunayi",-5.178,3.302
"1717","Colobosaura kraepelini",-5.178,3.302
"1718","Colobosaura modesta",-5.178,3.302
"1719","Colobosauroides carvalhoi",-5.178,3.302
"1720","Colobosauroides cearensis",-5.178,3.302
"1721","Coloptychon rhombifer",-5.765,3.48
"1722","Colopus kochii",-4.242,2.761
"1723","Colopus wahlbergii",-4.242,2.761
"1724","Complicitus nigrigularis",-4.686,3.105
"1725","Concinnia amplus",-5.125,3.229
"1726","Concinnia brachyosoma",-5.125,3.229
"1727","Concinnia frerei",-5.125,3.229
"1728","Concinnia martini",-5.125,3.229
"1729","Concinnia queenslandiae",-5.125,3.229
"1730","Concinnia sokosoma",-5.125,3.229
"1731","Concinnia spinosa",-5.125,3.229
"1732","Concinnia tenuis",-5.125,3.229
"1733","Concinnia tigrinus",-5.125,3.229
"1734","Congolacerta asukului",-4.543,2.951
"1735","Congolacerta vauereselli",-4.543,2.951
"1736","Conolophus marthae",-4.298,2.972
"1737","Conolophus pallidus",-4.298,2.972
"1738","Conolophus subcristatus",-4.298,2.972
"1739","Contomastix lacertoides",-4.747,3.11
"1740","Contomastix leachei",-4.747,3.11
"1741","Contomastix serrana",-4.747,3.11
"1742","Contomastix vacariensis",-4.747,3.11
"1743","Contomastix vittata",-4.747,3.11
"1744","Copeoglossum arajara",-5.125,3.229
"1745","Copeoglossum aurae",-5.125,3.229
"1746","Copeoglossum margaritae",-5.125,3.229
"1747","Copeoglossum nigropunctatum",-5.125,3.229
"1748","Copeoglossum redondae",-5.125,3.229
"1749","Cophosaurus texanus",-3.855,2.677
"1750","Cophoscincopus durus",-5.125,3.229
"1751","Cophoscincopus greeri",-5.125,3.229
"1752","Cophoscincopus senegalensis",-5.125,3.229
"1753","Cophoscincopus simulans",-5.125,3.229
"1754","Cophotis ceylanica",-4.686,3.105
"1755","Cophotis dumbara",-4.686,3.105
"1756","Cordylosaurus subtessellatus",-4.783,3.085
"1757","Cordylus angolensis",-5.747,3.589
"1758","Cordylus aridus",-5.747,3.589
"1759","Cordylus beraduccii",-5.747,3.589
"1760","Cordylus cloetei",-5.747,3.589
"1761","Cordylus cordylus",-5.747,3.589
"1762","Cordylus imkeae",-5.747,3.589
"1763","Cordylus jonesii",-5.747,3.589
"1764","Cordylus machadoi",-5.747,3.589
"1765","Cordylus macropholis",-5.747,3.589
"1766","Cordylus marunguensis",-5.747,3.589
"1767","Cordylus mclachlani",-5.747,3.589
"1768","Cordylus meculae",-5.747,3.589
"1769","Cordylus minor",-5.747,3.589
"1770","Cordylus namakuiyus",-5.747,3.589
"1771","Cordylus niger",-5.747,3.589
"1772","Cordylus nyikae",-5.747,3.589
"1773","Cordylus oelofseni",-5.747,3.589
"1774","Cordylus rhodesianus",-5.747,3.589
"1775","Cordylus rivae",-5.747,3.589
"1776","Cordylus tropidosternum",-5.747,3.589
"1777","Cordylus ukingensis",-5.747,3.589
"1778","Cordylus vittifer",-5.747,3.589
"1779","Correlophus belepensis",-4.804,3.057
"1780","Correlophus ciliatus",-4.804,3.057
"1781","Correlophus sarasinorum",-4.804,3.057
"1782","Corucia zebrata",-5.125,3.229
